node_id	osm_name	lat	lon	watercourse	feature_id	feature_name	metres
266566621	Laurel Falls	35.6775012	-83.5931335	Laurel Branch			
309814375	Looking Glass Falls	35.2962199	-82.7687623	Looking Glass Creek	378	Looking Glass Falls	6
331531531	Upper DeSoto Falls	34.7170515	-83.9157116				
331531543	Lower DeSoto Falls	34.7072183	-83.9173303				
331962593	L'Eau d'Or Falls	34.739848	-83.3937836	Tallulah River			
331962597	Tempesta Falls	34.7390026	-83.3927047	Tallulah River			
331962601	Hurricane Falls	34.7385657	-83.3911955	Tallulah River			
331962680	Oceana Falls	34.7377451	-83.3882591	Tallulah River			
331962692	Bridal Veil Falls	34.7350526	-83.3851635	Tallulah River			
346428568	Amicalola Falls	34.567412	-84.2442749				
346483887	Waterfall #4	34.509822	-84.2991559	Fall Creek			
346503826	Fall Creek Waterfall	34.515107	-84.318367	Fall Creek			
347954637		36.1288019	-80.2840233				
348737422	Jacks River Falls 80	34.9718762	-84.5725715	Jacks River			
348809500		34.6554068	-84.6072966	Tails Creek			
348834702		34.788338	-84.712513				
348905535	Emery Creek Upper Falls (3,4,5) 15, 40, 15	34.833808	-84.630114	Emery Creek			
348905664	Emery Creek Lower Falls (1,2) 60, 15	34.831704	-84.632367	Emery Creek			
349362397		34.957275	-83.1200627	Chattooga River			
358715503	Raven Cliff Falls	34.7231789	-83.8238445				
374229943	Duke Creek Falls	34.7027015	-83.7922314	Davis Creek			
374449742		34.718118	-83.806194	Dodd Creek			
374450117		34.71774	-83.803231	Dodd Creek			
374530299		34.730261	-83.920758	Frogtown Creek			
375062613		34.723544	-83.921299				
375062788		34.722879	-83.919041				
375062855		34.722382	-83.9182				
375370026	Horse Trough Falls	34.7920985	-83.7874727	Chattahoochee River			
375416944	Blood Mountain Creek Falls	34.734888	-83.943254	Blood Mountain Creek			
376627557		34.699119	-83.952019	Blood Mountain Creek			
377137854		34.708064	-83.921082				
377137999		34.708053	-83.919763				
401105574		34.9710797	-82.8446088	Peach Orchard Branch			
401150019		34.947241	-83.500212				
403909513	Upper Whitewater Falls	35.036061	-83.0177683	Whitewater River	394	Whitewater Falls	13
403920193	Hidden Falls	34.8797476	-83.0902663				
403949794	Aggrandizement Falls	35.06464	-83.03996	Democrat Creek			
403955043	Brasstown Falls	34.718622	-83.304351	Brasstown Creek	337	Brasstown Falls	77
