Name,Type,Owner,Hike (RT),Lat/Long,Link
Azalea Park,Pool,City of Asheville,,"35.573264, -82.491287",https://riverlink.org/splash-into-summer-asheville-swim-guide/
Bear Creek and Wolf Creek Lakes,Cove,Nantahala National Forest,Fee Area,"35.24440, -83.01530",https://secretswimmingholes.com/directory/?state=NC
Bent Creek / Lake Powhatan,Cove,Pisgah National Forest,,"35.4816287, -82.6260661",https://riverlink.org/splash-into-summer-asheville-swim-guide/
Big Creek,Pool,Great Smoky Mountains National Park,,,https://secretswimmingholes.com/directory/?state=NC
Big Laurel Creek,Chute,Nantahala National Forest,,,https://secretswimmingholes.com/directory/?state=NC
Big Laurel Falls,Plunge,Nantahala National Forest,,,https://secretswimmingholes.com/directory/?state=NC
Boone Fork Trail Falls,Pool,Blue Ridge Parkway (Julian Price Park),5.1,,https://www.alltrails.com/trail/us/north-carolina/boone-fork-trail--8
Bullhole,Pool,River Park at Cooleemee Falls,,,https://secretswimmingholes.com/directory/?state=NC
Bust Your Butt Falls,Pool,Nantahala National Forest (unconfirmed),,,http://travelguidesasheville.com/allguides/the-best-swimming-holes-near-asheville-nc
Cascade Falls (Deep Gap),Chute,"unconfirmed — swimmability disputed, see note",1,,https://familydestinationsguide.com/known-swimming-north-carolina/
Charles D. Owen Park,Pool,Buncombe County,,"35.6102626, -82.4281787",https://riverlink.org/splash-into-summer-asheville-swim-guide/
Courthouse Falls,Plunge,Pisgah National Forest,2,"35.27157, -82.89431",https://www.discoverjacksonnc.com/trail/courthouse-falls/67e7252eaf65b9b30598d3d2/
Deep Creek,Chute,Great Smoky Mountains National Park,,,https://secretswimmingholes.com/directory/?state=NC
Duggers Creek Falls,Plunge,Blue Ridge Parkway (Linville Falls),0.5,,https://www.blueridgeoutdoors.com/hiking/swimmers-guide-blue-ridge-parkway/
Dupont State Forest Spots,Plunge,DuPont State Recreational Forest,,,https://secretswimmingholes.com/directory/?state=NC
Elk River Falls,Plunge,Pisgah National Forest,,,https://secretswimmingholes.com/directory/?state=NC
Elk Shoals,Basin,New River State Park,Reservations (Permit) Required,,https://secretswimmingholes.com/directory/?state=NC
Eno River / Quarry,Basin,Eno River State Park,,,https://secretswimmingholes.com/directory/?state=NC
Falls Lake S.R.A.,Cove,Falls Lake State Recreation Area,,"36.01170, -78.68800",https://secretswimmingholes.com/directory/?state=NC
Fires Creek,Pool,Nantahala National Forest,,,https://secretswimmingholes.com/directory/?state=NC
Flat Laurel Creek,Chute,Pisgah National Forest,3.7,,https://www.blueridgeoutdoors.com/hiking/swimmers-guide-blue-ridge-parkway/
Fort Hamby Park,Cove,Kerr Scott Reservoir (USACE),,,https://highcountryhost.com/NC-High-Country-Where-to-Swim
Goose Creek S.P.,Cove,Goose Creek State Park,,"35.48185, -76.90141",https://secretswimmingholes.com/directory/?state=NC
Granny Burrell Falls,Chute,Nantahala National Forest,1.25,"35.16302, -83.02830",https://www.discoverjacksonnc.com/trail/granny-burrell-falls/67e72b08af65b9b30598d3db/
Graveyard Fields Plunge,,Blueridge Parkway?,0.6,,http://smokymountainsoul.com/best-swimming-holes-near-asheville-nc/
High Falls (DuPont),Plunge,DuPont State Recreational Forest,1.2,,https://www.alltrails.com/trail/us/north-carolina/high-falls-and-triple-falls-tour
